idx,start,artist,title,bpm,song_key,camelot,genres,release_date,show_date,show_venue,duration_ms
1,0:00,Mersiv,Fast Lane ft. CREG,,,,,,2026-08-07,Elements Festival,
2,2:04,Ivy Lab,Curves,,,,Electronic,2024-08-22,2026-08-07,Elements Festival,
3,4:16,Ganja White Night,Ganja White Night x Mr. Bill - Mask Off,,,,Electronic,2026-02-06,2026-08-07,Elements Festival,
4,7:35,Mersiv,James Hype - Waterfalls (Mersiv Flip),,,,,,2026-08-07,Elements Festival,
5,12:06,Mickman,God Speed,,,,,,2026-08-07,Elements Festival,
6,13:56,Crankdat,Crankdat & NGHTMRE - TYPE SH*T (feat. Duke Deuce),,,,,2025-06-06,2026-08-07,Elements Festival,
7,16:41,Jigitz,the time,,,,Dance,2025-10-17,2026-08-07,Elements Festival,
8,18:36,Zingara,Telekinesis (ft. Diego Moreno),,,,Dubstep,2026-06-24,2026-08-07,Elements Festival,
9,21:04,Wonkywilla,ABBA- Gimme! Gimme! Gimme! (Disco Wonk Flip),,,,,,2026-08-07,Elements Festival,
10,25:11,Above & Beyond,Feel The Vibe,,,,Dance,2026-05-30,2026-08-07,Elements Festival,
11,28:11,It's Murph,Forever Young,,,,Dance,2026-05-15,2026-08-07,Elements Festival,
12,34:18,It's Murph,Feel it in My,,,,Dance,2025-10-31,2026-08-07,Elements Festival,
13,37:16,Chris Lake,Make You Fight,,,,House,2026-05-01,2026-08-07,Elements Festival,
14,39:59,Chris Lake,Psycho,,,,Dance,2025-06-27,2026-08-07,Elements Festival,
15,42:05,Dice Man,Long Walks R 4 Loverz (w/ Kuhlin),,,,,,2026-08-07,Elements Festival,
16,44:08,Ivy Lab,Amigood,,,,House,2025-08-29,2026-08-07,Elements Festival,
17,47:42,Ivy Lab,Gossip,,,,House,2026-05-06,2026-08-07,Elements Festival,
18,50:24,Boys Noize,HYYTUP,,,,Dance,2026-02-06,2026-08-07,Elements Festival,
19,51:36,Effin,Aerosmith - Dream On (Effin Flip),,,,,,2026-08-07,Elements Festival,
20,54:03,Gorillat,Little Simz - Torch (GorillaT Flip),,,,,,2026-08-07,Elements Festival,
21,55:58,Crankdat,SURROUND SOUND (CRANKDAT REMIX),,,,,,2026-08-07,Elements Festival,
22,57:19,Mikayli,Let 'Em Talk (ft. LEIK),,,,,,2026-08-07,Elements Festival,
