idx,start,artist,title,bpm,song_key,camelot,genres,release_date,show_date,show_venue,duration_ms
1,0:00,"Biscits, Aya Anne",Always Knew,,,,House,2026-05-29,2026-08-08,Elements Festival,
2,2:22,"MPH, Nathan Nicholson",Long Goodbye,,,,UKG,2026-06-12,2026-08-08,Elements Festival,
3,4:42,"Cloonee, Prospa",Free Your Mind,,,,House,2026-03-27,2026-08-08,Elements Festival,
4,6:42,"Daft Punk, Westend",Around The World (Westend Edit),,,,House,2026-01-02,2026-08-08,Elements Festival,
5,8:51,"Ragie Ban, Ayybo",I Don’t Want To,,,,House,2025-02-28,2026-08-08,Elements Festival,
6,10:51,"Linska, Rhys From The Sticks",Four Four,,,,House,2026-07-11,2026-08-08,Elements Festival,
7,13:40,"Cloonee, Jocelyn Enriquez",XTC,,,,Tech House,2026-01-23,2026-08-08,Elements Festival,
8,15:37,"Matroda, Dances",Bang,,,,Dance,2019-05-03,2026-08-08,Elements Festival,
9,19:10,"Ayybo, Dale Move",Don’t Want None,,,,Electronic/Tech House,2025-08-31,2026-08-08,Elements Festival,
10,21:43,Roddy Lima,Night Time,,,,House,2025-05-03,2026-08-08,Elements Festival,
11,24:06,Matroda,Caliente (Na Na Na),,,,matrodasound,2018-07-06,2026-08-08,Elements Festival,
12,26:02,"Opiuo, Wreckno",Satellite,,,,Electronic,2025-05-09,2026-08-08,Elements Festival,
13,28:34,"Nikita, The Wicked",Do As I Say,,,,Dance & EDM,2026-05-15,2026-08-08,Elements Festival,
14,30:07,"Speaker Knockerz, 9B49",Lonely (9B49 Remix),,,,,,2026-08-08,Elements Festival,
15,31:46,Opiuo,Bash Plate,,,,Dubstep,2023-05-05,2026-08-08,Elements Festival,
16,33:18,Clozee,Tomboy,,,,Bass,2023-07-21,2026-08-08,Elements Festival,
17,35:45,"Of The Trees, Lyny",Hollow,,,,Electronic,2026-04-02,2026-08-08,Elements Festival,
18,38:23,Hol!,Country Riddim II,,,,Electronic,2024-08-30,2026-08-08,Elements Festival,
19,39:36,Svdden Death,Dream Sequence,,,,Dubstep,2022-03-18,2026-08-08,Elements Festival,
20,41:54,Ray Volpe,Happy Song,,,,Dubstep,2023-05-19,2026-08-08,Elements Festival,
21,43:42,Subtronics,Fibonacci (Part 1),,,,Dubstep,2025-04-04,2026-08-08,Elements Festival,
22,45:36,"Sippy, Marlhy",Ashes,,,,Dance,2025-08-15,2026-08-08,Elements Festival,
23,47:50,Level Up,Alive,,,,Dance & EDM,2025-01-10,2026-08-08,Elements Festival,
24,49:52,Subtronics,Final Breath,,,,Dance & EDM,2025-04-02,2026-08-08,Elements Festival,
25,52:59,"Chase & Status, Hedex, Arrdee",Liquor & Cigarettes,,,,Dance,2023-09-15,2026-08-08,Elements Festival,
26,55:41,Hedex,Ringtone,,,,Drum & Bass,2025-10-10,2026-08-08,Elements Festival,
