idx,start,artist,title,bpm,song_key,camelot,duration_ms,genres,release_date,show_date,show_venue,show_cost,show_url
1,0:00,John Summit,"John Summit, Chainsmokers, Ilsey - ALL THE TIME",,,,180386,"House, Dub",,2026-09-19,Randall's Island,$280+,https://ra.co/events/2426005
2,1:39,Channel Tres,Pop Pop,106,C Minor,5A,177969,Hip-Hop,2026-05-22,2026-09-10,Knockdown Center,,https://dice.fm/event/v3dnlg-channel-tres-the-enigma-tour-10th-sep-knockdown-center-new-york-tickets
3,3:47,Adriatic,Evergreen Kings (Gru¨ne Haut Instrumental),,,,176546,"Pop, R&B",,2026-09-01,Pianos,$17,https://ra.co/events/2502175
4,5:09,Baauer,Hate Me (VIP),100,F Minor,4A,176029,Electronica,2018-09-04,2026-09-19,SILO,$20,https://ra.co/events/2476788
5,7:55,Chaos In The CBD,Dusty Sundays,120,C Minor,5A,358106,House,2020-09-24,2026-08-29,Knockdown Center,,https://ra.co/events/2473602
6,10:35,justin martin music,Needs,121,G Minor,6A,357048,House,2020-01-14,2026-08-29,314 Scholes,,https://ra.co/events/2465313
7,12:47,DIVERGE RECORDS,Oriente - Mini Taylor,,,,154808,techno,,2026-09-04,Paragon,,https://dice.fm/event/7dwgn7-metalheadzgoldie-adred-diverge-anonima-loka-4th-sep-paragon-new-york-city-tickets
8,15:00,Chaos In The CBD,Girl Like You,122,B Minor,10A,350374,House,2020-09-24,2026-08-29,Knockdown Center,,https://ra.co/events/2473602
9,18:23,Franky Rizardo,LNZ - I Got 5 On It (Franky Rizardo Remix) [FREE DOWNLOAD],,,,401906,,,2026-08-29,Pacha New York,,https://ra.co/events/2454973
10,19:40,Franky Rizardo,Don't You Want My Love,128,G Minor,6A,258796,House,2025-07-11,2026-08-29,Pacha New York,,https://ra.co/events/2454973
11,22:23,Budino,Budino - Twisted,130,A Minor,8A,421469,House,2026-07-24,2026-09-06,Good Room,,https://ra.co/events/2497097
12,24:34,Cataract,Hide & Seek - Stormzy (Cataract Edit),,,,287290,"Techno, House",,2026-08-21,ErF Studios,,https://ra.co/events/2510887
13,27:39,Chris Luno,Between This,128,D Minor,7A,191564,"Melodic House & Techno, Melodic House",2025-11-24,2026-09-04,Westlight Rooftop at The William Vale,$29.99,https://ra.co/events/2414977
14,29:52,Franky Rizardo,Daft Punk - One More Time (Franky Rizardo Remix),,,,304869,,,2026-08-29,Pacha New York,,https://ra.co/events/2454973
15,31:51,DJ Artwork,Acid Lines,125,Db Major,3B,369861,"House, Acid",2017-10-13,2026-08-28,Good Room,$10-25,https://ra.co/events/2499263
16,33:56,Casey Club,Borehole,140,D Major,10B,164617,140 / Deep Dubstep / Grime,2026-01-16,2026-09-11,SILO,$25,https://ra.co/events/2494900
17,35:59,bastiengoat,Want Down,,,,300915,"Techno, Club",,2026-09-04,Bossa Nova Civic Club,,https://ra.co/events/2512993
18,37:08,CASPAofficial,CASPA - DOLLARS,,,,192546,Dubstep,,2026-09-11,SILO,$25,https://ra.co/events/2494900
19,38:30,Casey Club,Sonny Fodera & MK - Asking (Casey Club Dubstep Bootleg),,,,165475,Dubstep,,2026-09-11,SILO,$25,https://ra.co/events/2494900
20,39:41,Exav0lt,Blindside,70,Eb Major,5B,240039,Drum & Bass,2023-11-17,2026-09-15,Bossa Nova Civic Club,Free,https://ra.co/events/2504549
21,41:32,David Löhlein,Esperate,146,D Minor,7A,134539,Dance / Pop,2026-05-29,2026-09-05,Industry City,$185.00,https://ra.co/events/2427523
22,43:56,Black Rave Culture,Dick Control,145,G Minor,6A,199929,"Bass / Club, Jersey Club",2024-08-23,2026-09-12,Paragon,$25,https://ra.co/events/2454944
23,45:31,The Martinez Brothers,Impressions,135,C Minor,5A,176490,House,2026-07-24,2026-09-12,Refuge,,https://ra.co/events/2512972
24,47:02,Mau P,On Again,130,C Minor,5A,228046,Tech House,2024-04-30,2026-09-11,Brooklyn Army Terminal,$70,https://ra.co/events/2370377
25,49:12,John Summit,John Summit - EAT THE BASS,128,F Major,7B,202546,Tech House,2024-04-10,2026-09-19,Randall's Island,$280+,https://ra.co/events/2426005
26,50:39,Baauer,READY TO GO (Original Mix),122,A# Minor,3A,175526,"Mainstage, Electro House",2019-12-13,2026-09-19,SILO,$20,https://ra.co/events/2476788
27,52:18,John Summit,John Summit - Focus (ft. CLOVES) [ALOK Remix],128,Db Major,3B,207807,Melodic House & Techno,2025-01-17,2026-09-19,Randall's Island,$280+,https://ra.co/events/2426005
