idx,start,artist,title,bpm,song_key,camelot,genres,release_date,show_date,show_venue,duration_ms
1,0:00,Flying Lotus,Crust,106,,9A,,,,,133000
2,1:27,Helsloot,Take Care (Extended Revisit),124,,10A,Melodic House & Techno,,,,352000
3,5:17,"Lane 8, Davey Havok","Empty Theatre, Pretty Picture (Original Mix)",124,,10A,Dance / Pop,,,,301000
4,8:35,Kim Anh,Shadows (Eli Escobar Remix),122,,11A,,,,,387000
5,12:48,"BLOND:ISH, Amadou & Mariam, Francis Mercier",Sete (Nitefreak Remix),125,,11A,Afro House,,,,367000
6,16:49,"Rodriguez Jr., Liset Alea",What Is Real (Deep in the Playa Mix) (Video Edit),123,,8B,Deep House,,,,253000
7,19:34,"Lee Burridge, Matthew Dekay",Lost In A Moment (Original Mix),123,,8A,Deep House,,,,608000
8,26:13,Four Tet,For These Times,127,,5A,,,,,299000
9,29:29,Eli & Fur,Otherside (Nils Hoffmann Extended Remix),125,,4A,Melodic House & Techno,,,,357000
10,33:23,Sinead Harnett,Unconditional (Sonny Fodera Extended Deep Mix),122,,3A,House,,,,385000
11,37:35,"Lane 8, Sultan + Shepard, sadHAPPY",Disappear (Original Mix),122,,3B,Dance / Pop,,,,350000
12,41:24,"Serge Devant, Camille Safiya, Damiano C",Fearing Love feat. Camille Safiya (Club Mix),123,,4A,Deep House,,,,448000
13,46:18,"Tinlicker, Hero Baldwin",I Want My Freedom (feat. Hero Baldwin),120,,5A,Melodic House & Techno,,,,310000
14,49:41,"Gui Boratto, Lane 8, Jyll",The Doubt (Original Mix),127,,8B,Melodic House & Techno,,,,400000
15,54:03,"Rhye, Diplo",MMXX - XII (Kolsch Remix [Extended]),125,,8A,Melodic House & Techno,,,,491000
16,59:25,"Lane 8, Kasablanca",Run (Extended Mix),124,,7A,Melodic House & Techno,,,,326000
17,62:58,"ZHU, J. Worra, partywithray",Zhudio54 (J. Worra Remix),124,,7A,Dance / Electro Pop,,,,312000
18,66:23,Mau P,Like i like it (Adapter remix),128,,7A,Electronic,,,,243000
19,69:02,"Phantogram, HNTR",Fall In Love Again (Extended Mix),130,,7A,Dance / Pop,,,,275000
20,72:02,"BLOND:ISH, Nico de Andrea, Darla Jade",Hold Tight (feat. Darla Jade) (Dombresky Extended Remix),124,,8A,Dance / Pop,,,,376000
21,76:09,"MYRNE, Massane",In Motion (Original Mix),125,,5A,Melodic House & Techno,,,,283000
