idx,start,artist,title,bpm,song_key,camelot,duration_ms,show_date,show_venue
1,,Max Dean,Talking To Myself,134,Gm,6A,472882,2026-07-24,Brooklyn Storehouse
2,,Luke Alessi,After Five (Extended) (Extended),126,Gm,6A,376000,2026-07-25,Roberta's
3,,"Claude VonStroke, Nala",Everything Is Burning (Original Mix),125,Cm,5A,355000,2026-08-07,Knockdown Center
4,,ARTBAT,ARTBAT - Dance,128,Fm,4A,179873,2026-07-31,Pacha New York
5,,HannahLaing,Bass Boys,147,A#m,3A,179828,2026-07-31,Under the K Bridge
6,,Age Of Love (Charlotte de Witte show),The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix),130,Fm,4A,489000,2026-08-07,Knockdown Center
7,,Effy,Pitched,140,Fm,4A,264308,2026-07-24,Knockdown Center
8,,Sammy Virji,If U Need It,132,A#m,3A,180046,2026-07-31,Brooklyn Army Terminal
9,,Boys Noize,"VTSS & Boys Noize ""Steady Pace"" (Extended Mix)",135,Em,9A,215932,2026-08-01,Under the K Bridge
10,,Luke Dean,This Heat,135,Am,8A,355699,2026-07-24,Brooklyn Storehouse
11,,Bakermat,Bakermat - Save My Soul (feat. AMANZI),128,Em,9A,153796,2026-07-24,Westlight Rooftop at The William Vale
12,,"Rafael, Adam Ten",Sweet Boy (Original Mix),125,Em,9A,287000,2026-07-25,Central Park SummerStage
13,,Malive,Over & Over (Radio Edit),124,Am,8A,178110,2026-07-25,Central Park SummerStage
14,,Enzo is Burning,Loco (Beatport link in bio),130,Gm,6A,207072,2026-08-01,H0l0 Yard
15,,Katie Rex,AZARI- M-Body (Katie Rex remix),123,F,7B,312242,2026-07-31,The Chocolate Factory
16,,Spencer Brown,Spencer Brown x ilan Bluestone - Hugo's Couch (Paul Deep Mix),123,Fm,4A,378095,2026-07-31,House of Yes
17,,Massane,In Motion,125,Cm,5A,283486,2026-07-31,Westlight Rooftop at The William Vale
18,,Deeper Purpose,Deeper Purpose - Cigarettes [Free Download],128,G#m,1A,300515,2026-07-25,99 Scott Ave
