Date,Description,Amount,Balance
2026-02-09,Zeffy payout,400.0,400.0
2026-03-09,Zeffy payout,850.0,1250.0
2026-03-23,AOM Infusion wire,2500.0,3750.0
2026-03-23,Zeffy payout,175.0,3925.0
2026-03-30,Zeffy payout,75.0,4000.0
2026-04-01,Bank interest (March),1.89,4001.89
2026-04-06,Zeffy payout,275.0,4276.89
2026-04-13,Zeffy payout,1300.0,5576.89
2026-04-16,Signal NYC ACH (deposit),-3000.0,2576.89
2026-04-20,Zeffy payout,200.0,2776.89
2026-04-27,Zeffy payout,50.0,2826.89
2026-05-04,Zeffy payout,125.0,2951.89
2026-05-05,Postnet (Fliers),-65.33,2886.56
2026-05-08,Signal NYC ACH (final),-1385.0,1501.56
2026-05-10,Zeffy payout (after CSV),1577.0,3078.56
